BLItemNo	ElementId	LdrawId	PartName	BLColorId	LDrawColorId	ColorName	ColorCategory	Qty	Weight
11090	6015890	11090	Bar Holder with Clip	85	72	Dark Bluish Gray	Solid Colors	2	0.24
11203	6013082	11203	Tile, Modified 2 x 2 Inverted	85	72	Dark Bluish Gray	Solid Colors	3	0.62
11458	6225230	11458	Plate, Modified 1 x 2 with Pin Hole on Top	86	71	Light Bluish Gray	Solid Colors	4	0.47
11477	6028813	11477	Slope, Curved 2 x 1 No Studs	86	71	Light Bluish Gray	Solid Colors	2	0.31
13548	6034676	13548	Wedge 2 x 2 (Slope 45 Corner)	86	71	Light Bluish Gray	Solid Colors	2	0.93
15068	6102357	15068	Slope, Curved 2 x 2 No Studs	86	71	Light Bluish Gray	Solid Colors	2	0.57
18675pb06		18675pb06	Dish 6 x 6 Inverted - No Studs with Handle with SW First Order TIE Fighter Hatch Pattern	86	71	Light Bluish Gray	Solid Colors	1	4
22385	6245254	22385	Tile, Modified 2 x 3 Pentagonal	86	71	Light Bluish Gray	Solid Colors	3	0.6
2412b	4211350	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	86	71	Light Bluish Gray	Solid Colors	2	0.23
2412b	4210631	2412b	Tile, Modified 1 x 2 Grille with Bottom Groove / Lip	85	72	Dark Bluish Gray	Solid Colors	12	0.23
2419	4211352	2419	Wedge, Plate 3 x 6 Cut Corners	86	71	Light Bluish Gray	Solid Colors	1	1.95
24201	6144138	24201	Slope, Curved 2 x 1 Inverted	86	71	Light Bluish Gray	Solid Colors	2	0.36
24246	6250597	24246	Tile 1 x 1 Half Circle Extended (Stadium) with Groove	86	71	Light Bluish Gray	Solid Colors	2	0.1
24309	6132207	24309	Slope, Curved 3 x 2 No Studs	86	71	Light Bluish Gray	Solid Colors	2	1.21
2431	4211356	2431	Tile 1 x 4	86	71	Light Bluish Gray	Solid Colors	2	0.54
2431	243126	2431	Tile 1 x 4	11	0	Black	Solid Colors	8	0.54
2445	4211360	2445	Plate 2 x 12	86	71	Light Bluish Gray	Solid Colors	6	3.5
2450	6051596	2450	Wedge, Plate 3 x 3 Cut Corner	55	379	Sand Blue	Solid Colors	8	1.08
2450	4210897	2450	Wedge, Plate 3 x 3 Cut Corner	85	72	Dark Bluish Gray	Solid Colors	4	1.08
2456	4181143	2456	Brick 2 x 6	3	14	Yellow	Solid Colors	1	3.74
2555	6030711	2555	Tile, Modified 1 x 1 with Clip	86	71	Light Bluish Gray	Solid Colors	2	0.22
2555	6030710	2555	Tile, Modified 1 x 1 with Clip	85	72	Dark Bluish Gray	Solid Colors	16	0.22
2653	4211613	2653	Brick, Modified 1 x 4 with Groove	86	71	Light Bluish Gray	Solid Colors	1	1.42
27263	6177078	27263	Tile, Modified 2 x 2 Corner with Cut Corner - Facet	86	71	Light Bluish Gray	Solid Colors	8	0.33
2780	4121715	2780	Technic, Pin with Friction Ridges Lengthwise WITH Center Slots	11	0	Black	Solid Colors	28	0.16
28192	6213378	28192	Slope 45 1 x 2 with Cutout without Stud	86	71	Light Bluish Gray	Solid Colors	4	0.41
28192	6168776	28192	Slope 45 1 x 2 with Cutout without Stud	85	72	Dark Bluish Gray	Solid Colors	4	0.41
3005	4211389	3005	Brick 1 x 1	86	71	Light Bluish Gray	Solid Colors	2	0.44
3007	6037390	3007	Brick 2 x 8	11	0	Black	Solid Colors	1	4.75
3008	4211392	3008	Brick 1 x 8	86	71	Light Bluish Gray	Solid Colors	2	3.21
3009	4211393	3009	Brick 1 x 6	86	71	Light Bluish Gray	Solid Colors	2	2.42
3009	300924	3009	Brick 1 x 6	3	14	Yellow	Solid Colors	1	2.42
3020	4211395	3020	Plate 2 x 4	86	71	Light Bluish Gray	Solid Colors	7	1.2
3020	302024	3020	Plate 2 x 4	3	14	Yellow	Solid Colors	1	1.2
3020	302023	3020	Plate 2 x 4	7	1	Blue	Solid Colors	2	1.2
3021	4211396	3021	Plate 2 x 3	86	71	Light Bluish Gray	Solid Colors	6	0.93
3022	302226	3022	Plate 2 x 2	11	0	Black	Solid Colors	1	0.64
3022	4613974	3022	Plate 2 x 2	5	4	Red	Solid Colors	2	0.64
3022	4211397	3022	Plate 2 x 2	86	71	Light Bluish Gray	Solid Colors	1	0.64
3023	302326	3023	Plate 1 x 2	11	0	Black	Solid Colors	1	0.36
3023	6240212	3023	Plate 1 x 2	17	36	Trans-Red	Transparent Colors	3	0.36
3023	302324	3023	Plate 1 x 2	3	14	Yellow	Solid Colors	4	0.36
3023	4211398	3023	Plate 1 x 2	86	71	Light Bluish Gray	Solid Colors	4	0.36
3023	6240222	3023	Plate 1 x 2	15	43	Trans-Light Blue	Transparent Colors	2	0.36
3024	6252042	3024	Plate 1 x 1	17	36	Trans-Red	Transparent Colors	10	0.2
3029	4211401	3029	Plate 4 x 12	86	71	Light Bluish Gray	Solid Colors	1	6.76
3032	4211404	3032	Plate 4 x 6	86	71	Light Bluish Gray	Solid Colors	6	3.3
3032	303226	3032	Plate 4 x 6	11	0	Black	Solid Colors	6	3.3
3033	4211405	3033	Plate 6 x 10	86	71	Light Bluish Gray	Solid Colors	2	7.95
